,fid,tf,y0,y1,nuk1,nuk2,A1,A2,B1,B2
95,1.0000000000000004,1.9147738693467338,-5.0,0.0,0.07232317171050906,0.38383771093223173,-6.546389602915085,17.828611232838817,-4.592874130566607,1.6026947726880274
96,1.0,1.9348241206030152,-5.0,0.0,-0.23167706910717212,-0.13182545747162178,0.5881357433704419,16.261470565264602,6.28799169071524,-12.45554303627332
97,1.0000000000000004,1.9548743718592965,-5.0,0.0,0.2605823925684885,0.38408297181473616,-8.93182876982899,7.4616331950158745,-0.48250961610779464,-0.4006921386048835
98,1.0,1.974924623115578,-5.0,0.0,-0.25053837551897373,0.09252857569081074,-1.6526737282095794,10.572458609978696,-2.0928887367504347,-0.7188160696501406
99,1.0000000000000004,1.9949748743718594,-5.0,0.0,-0.16296988447358118,-0.4394640993065281,-0.14901140803637744,-5.298929583427328,-0.727074061657906,-6.59956168300394
100,1.0,2.0150251256281404,-5.0,0.0,0.08172668466863231,0.45624283750433636,-5.9870683567474146,6.225906048042594,-5.255081874918844,0.5118304296295517
101,1.0000000000000004,2.035075376884422,-5.0,0.0,0.3192844874642138,0.031758978189686426,-9.26396773135862,0.007247542058016841,-0.1375405418342437,0.5880969126739484
102,1.0000000000000004,2.0551256281407033,-5.0,0.0,-0.1815838079651978,-0.34912109505414357,-3.7792257197987946,-10.55623827057143,0.8033823524351423,-3.9722809321105648
103,1.0000000000000004,2.075175879396985,-5.0,0.0,-0.4791227742303603,0.044981733686233705,0.16124221082814486,8.24202660462367,-0.8495671497310671,-0.9972844132270867
104,1.0000000000000004,2.0952261306532662,-5.0,0.0,-0.4664262725184074,-0.21831074596130096,6.500854911860031,-0.43381913194530536,-1.7005567686165646,0.11477227603739046
105,1.0000000000000004,2.1152763819095477,-5.0,0.0,-0.47669556147119874,-0.3771532148959107,6.120058539146737,-1.221308158091795,-0.31578903690886906,0.032521306240798874
106,0.9962942600106099,2.135326633165829,-5.0,0.0,0.4593763160414511,-0.4930317847516005,-17.372592039775338,-4.470424227224641,2.6168907173873186,11.14497487567997
107,1.0000000000000004,2.15537688442211,-5.0,0.0,-0.05017522888583981,-0.05090968099921611,-2.4832570116679626,3.5187786173282776,-1.897023716229458,6.813395303151455
108,1.0000000000000004,2.1754271356783916,-5.0,0.0,-0.007958232258142073,-0.410870484015357,-3.6012587085552226,-2.3587078429125348,-1.961274772479727,-3.9083263790700777
109,1.0000000000000004,2.195477386934673,-5.0,0.0,0.3930720859214961,0.19294244208067757,-8.581968106512035,-2.2076374706205395,1.9790909675053048,-1.008429293469728
110,1.0000000000000004,2.2155276381909546,-5.0,0.0,0.24283698337062976,-0.31755402769644026,-6.7823335238104585,-0.6826018453974056,-0.2794897712492519,-0.6683803985361908
111,1.0000000000000004,2.235577889447236,-5.0,0.0,-0.420735175949566,-0.168850322263138,0.8383574925108638,11.102377992187746,2.1944191410333045,-1.4875963228697313
112,1.0000000000000004,2.2556281407035175,-5.0,0.0,0.17245440862558226,-0.09526507874620471,-6.02962734349746,-1.1153375044457068,-0.9553378235770401,1.365367966098135
113,1.0000000000000004,2.275678391959799,-5.0,0.0,0.2138292729787431,-0.33376607265974734,-6.200450646874736,-0.37412288467111676,-1.089702949360892,-0.18717572178154485
