,tf,fid,nu1,nu2,A1,A2,B1,B2
69,0.7000000000000001,0.9943027929199838,0.06131183072843671,0.5657670833452206,-294.4772472073184,147.2850857020539,-42.495675182964376,3105.6504169824148
70,0.7100000000000001,0.9968817901316088,0.6084057407462236,0.5077682910938576,-1148.3899399398474,-1997.8320523478608,273.3641763093672,615.2734900968771
71,0.72,0.9974403569322039,0.8716442116121599,0.24504813889376809,-1570.6538388852741,-877.3976821516411,-100.06100477803831,-680.0064592946615
72,0.73,0.9974609307486636,0.3184096543708932,0.39662840213264117,-118.12416879133839,-2045.1228756876676,-273.2558970721101,-39.13250605041858
73,0.74,0.9963338245791278,0.9909041417848642,0.5098886964491842,-1027.0626738253718,89.85600541226871,258.82079387272336,1751.740756230769
74,0.75,0.9975645587760575,0.49830247785712733,0.9077003178708987,-1029.801449867328,16.05633861545919,-2009.1857905425302,-454.5179234436073
75,0.76,0.9979797140280284,0.07491627003596879,0.285139418191805,307.62258600445017,-1431.7282625744022,-66.11667919467732,-1508.5289569420142
76,0.77,0.9974764069263046,0.893817606372527,0.369993743336712,-1377.7510797288041,-231.5942030877839,803.6858566957458,34.30684779475707
77,0.78,0.9962715624627394,0.9268637776379302,0.7906590126271695,-921.9240685658581,643.5464192485877,1263.6546605577896,674.9570330757233
78,0.79,0.9978577484787358,0.8835649256851306,0.3889111247715098,-622.0425972925076,-1138.994410107018,-252.3055670195182,528.9081055664142
79,0.8,0.9838034152100117,0.4816455230309612,0.6583370930386215,-25.578477817915235,2877.0069658635275,-1254.3888660822008,-492.32644497122345
80,0.81,0.9984113125522367,0.11731849897316593,0.017513131012353633,3886.2713815870634,3733.12793626913,-4518.720636678378,1741.3590928810515
81,0.8200000000000001,0.998191132708583,0.6316275437290081,0.6357427043065186,-1198.7493182708945,-30.24652814641484,-715.9163728567714,115.31266196616444
82,0.8300000000000001,0.9976930001854906,0.5060894645561939,0.4741224545123438,13.21056599958823,-1062.3420286986448,142.9824776282322,1022.3675357282302
83,0.8400000000000001,0.9984404477914987,0.02163922714780897,0.225097899269893,-67.14660143586987,-416.24325867905793,15.892547363249324,-1599.6116324473885
84,0.85,0.9977957590026992,0.655506260067213,0.45350655210167323,-101.30681923058592,-298.29522795253735,-762.7996627076423,1301.4800448302221
85,0.86,0.997904853735103,0.1864118311227405,0.4733497610195595,331.2398761665901,-652.1693240052992,-194.4275253162106,936.9368457527468
86,0.87,0.9921073326579617,0.11773673061421164,0.7733931274631772,-406.8615029612049,1825.9381233442355,-244.2641843413814,742.5473479828452
87,0.88,0.9976059875635571,0.46360164268194504,0.6414426590871429,-990.4631250114941,-1397.1813674935147,-3788.640838766648,-2101.2976200855983
88,0.89,0.9972708188905958,0.0010733232690147698,0.5414174718565452,-276.2725163980298,-1415.0796416718863,-592.9904254471589,195.8205571886782
89,0.9,0.9983332754854689,0.9627481591002914,0.13278333192887204,-747.7921560469796,-77.20075828340016,404.8674571510252,-214.67961021131373
