,tf,fid,nu1,nu2,nu3,A1,A2,A3,B1,B2,B3
10,0.11,0.8088224419668336,0.07392725531779687,0.6461539510791555,0.9832931446014371,-11.178695169756722,-6898.665338971899,641.6684999272794,134.29753414354124,1073.8125955789276,105.75084024937348
11,0.12,0.8089216196586951,0.22353605984750435,0.51809281627691,0.8059589429215623,2444.303054026225,21.35587257531301,227.03088997288444,-98.07161684186768,436.4097962700805,19.42834832153871
12,0.13,0.8161766692896831,0.1813846982684627,0.9512048037724825,0.9467784651582443,-42131.414465075904,-990075.1464071687,-203859.0477647586,-10038.215147893236,5759.220285382955,-1018952.3646650813
13,0.14,0.8710953806002707,0.6901402150346619,0.459052584195186,0.3850948729938565,241247.19029504154,-346200.2622110032,835350.9843217675,-780901.0502868446,870187.9897935595,22185.157573821845
14,0.15000000000000002,0.9066369418211717,0.39708652583552095,0.3540560933910425,0.6420698084637108,-253896.75940820816,-451337.2094733021,224404.80063581502,42078.750918427555,-554819.7186848399,186979.86090075813
15,0.16,0.882420627175781,0.4550969534730228,0.7743356890710927,0.2996984036207939,295815.3949223112,-501367.2006423642,-249112.52551762798,-111079.785639673,707477.3044584477,750989.5487328712
16,0.17,0.9268652347180777,0.43467231491142644,0.25553589708498525,0.23560400787983637,98007.15012546533,-241581.70543459716,-20705.09116983025,-397688.8610930903,-3445.563595049006,-88882.57644367284
17,0.18000000000000002,0.9206242152157177,0.47862066822524285,0.5848856288457137,0.9308329832640206,-122480.94166388633,-243024.1482586625,142019.02909888845,-28610.972571536193,205270.30503753154,-45432.20049105887
18,0.19,0.8437536701854504,0.1868768611382572,0.2623252649584744,0.819861406059527,-139122.37952992565,-12601.625203357857,766373.4938243824,85619.14565733279,-71884.68985240083,-20658.601661016364
19,0.2,0.9081433447424243,0.008590718683911147,0.6772454496341672,0.46128129705620735,-504691.4522190911,-26732.890788986384,22769.74697440654,-36074.964314634824,257878.34822060916,13962.189346285442
20,0.21000000000000002,0.9459808808882808,0.32294784291189416,0.1522320367061334,0.17042020240123668,183211.0079561009,-27100.14630400569,47217.645677278044,-40087.68024315775,-419802.2882010039,47073.45536710814
21,0.22,0.9107775174340986,0.33440691668918865,0.7503191994144855,0.20307394831836,5253.239640540019,167219.14360306982,1772.352236092554,-66143.81485382965,62556.84122810998,18644.289125077914
22,0.23,0.9293402006620717,0.09570313925920948,0.9539649510062684,0.3883682405831016,164637.52048222674,-57903.69489964073,6876.0343359276085,-69938.71939191551,-29913.95620077759,103239.38483928159
23,0.24000000000000002,0.9499986635619379,0.3341716853416258,0.2925931400444536,0.20888217835544032,65663.72939332356,-11555.581791616785,-129336.98033813626,-22102.09243061783,-22221.641744834196,44.21021783749093
