,tf,fid,nu1,nu2,A1,A2,B1,B2
17,0.18000000000000002,0.9117419871961446,0.02457580729777875,0.5488553443892787,314050.3007003502,-40185.49413108437,-18156.807881682173,324455.29457784217
18,0.19,0.9511794374382825,0.6116192104766638,0.8459140757983398,-343610.69874577585,-360909.6209884959,-383702.7827704364,39262.807291076904
19,0.2,0.8836132795655345,0.13016397696454807,0.7197479577976238,-4470.821753964066,303187.2559839485,-7614.752157053931,20049.88789092427
20,0.21000000000000002,0.9619866712384176,0.568483683986799,0.6430041402320478,-351320.7897748749,-41661.94030490692,-576492.5903319729,-433164.9578813094
21,0.22,0.938998489549668,0.24033982491388572,0.5287704934937325,24053.069715724065,-124310.66028306546,-99596.5649487323,55628.66653363126
22,0.23,0.9449888202832412,0.7597636777075133,0.11388627076221769,-149914.82745545346,13998.575388803694,-543.1702543212091,-614.6138221939545
23,0.24000000000000002,0.9713838238552766,0.48584789307873155,0.6374812069415894,-111521.74830734481,-16717.084449284186,-451592.3446894126,-262078.7881959938
24,0.25,0.9580587474076976,0.9835986228082404,0.25192139340516184,-13814.50421202386,-99790.70433106548,-69279.48957583137,-147780.41927295257
25,0.26,0.961568562748576,0.0655584986958696,0.10775900145071693,496053.78622258897,-17483.204471964244,-5519.334768977125,-168457.98037725175
26,0.27,0.9421476242791623,0.1632025196656075,0.6224326522366126,-13089.620868136786,-25969.58448476092,-14779.600996067971,87953.54400851308
27,0.28,0.9801220821910016,0.34352318049318165,0.6955854421664532,79761.219615035,-58351.60193691117,-273633.0858850935,-100701.55360215301
28,0.29000000000000004,0.9795397915250224,0.8771961490173161,0.5691972912219739,-323179.92104716477,78987.87714984696,79689.73291278134,-271860.579207173
29,0.3,0.9711249564483023,0.3189537018277445,0.1624918988816707,33306.696886045596,-459.84546993816843,-71624.66598421751,-33109.47736177691
30,0.31,0.9671523898856332,0.09308823615723372,0.40491255775214396,-5258.372741099139,-53390.205676781654,-2481.232118827064,-60.75699330722983
31,0.32,0.9844564972738509,0.25077659143371367,0.9088157321534072,84939.12555408143,-35938.85966532246,-119915.6421792513,28296.29819003527
32,0.33,0.9758910319658488,0.2544314820612671,0.26417441316690615,-21038.044105413737,-7692.269608290782,-3936.1520360277436,-58980.82105597606
