,tf,fid,nu1,nu2,nu3,A1,A2,A3,B1,B2,B3
30,0.31,0.9800331683708032,0.44636417958882957,0.028623141352802417,0.7138223115557184,-10127.006975297136,12567.99826378974,18130.672965027257,-79832.01862455184,-5367.828429610619,40097.04165123009
31,0.32,0.9821928251244313,0.2641030116696508,0.9387373067150067,0.4387378704482472,5624.5612589451985,-85510.98395664697,-41192.14752806723,-40542.37105304226,20221.57248963304,67799.43382522732
32,0.33,0.9734710381183206,0.1690687449781222,0.47001101243187704,0.35464875357089076,6381.552418601592,-75800.96468661018,30906.79053600154,-25831.83046549734,-3074.4629201211646,-19509.754939179868
33,0.34,0.9769780029961246,0.5887194567074465,0.49261846130252596,0.184311170599733,-28141.952178185355,-10882.621135143014,-15561.18585137595,-15030.739252828595,-23300.068092675145,-13683.699963575882
34,0.35000000000000003,0.9796303892329893,0.08856350644828759,0.4623274612288857,0.8772731937144898,-12463.234315666916,-35666.00532549277,18953.001414568327,-6702.273746105735,2303.0693065471078,-19211.449316763497
35,0.36000000000000004,0.9902622123948115,0.8031225225202084,0.6523143424072669,0.19211095867599814,-99660.7032749114,-19654.6615600681,1908.872129687592,-7936.052819860278,-79305.03072571344,-606.1650190221976
36,0.37,0.9930480411464001,0.619788336627654,0.8642358906512133,0.8385905940278112,-46096.940650465265,-77145.49187339935,-49408.66272919342,-53803.42492940268,6549.898674514093,-5261.340525981096
37,0.38,0.9915428109677511,0.4334122652210646,0.7839835338098136,0.0012347321752619322,-14907.036619705827,-30453.560131566017,897951.1851639196,-53592.64404995968,-7646.763991562258,-3118.60849192694
38,0.39,0.9861878694233662,0.2556014835525513,0.2730021853929997,0.9506137934498208,-1388.7717791669916,-9083.281111886261,-6784.972292901662,-7887.621457958203,-23283.208664111626,-10702.779039836656
39,0.4,0.9907676294605322,0.014805744827382838,0.7938731588091329,0.34839331127042483,-89884.70664701686,-52938.111202872205,-22383.730407021805,11400.056341440255,5248.509980569801,54615.82571098759
40,0.41000000000000003,0.9879014121263141,0.27191641017849233,0.9521974429174592,0.5719333152922444,-5379.846986111882,-118457.83323175418,119186.81668729897,-3098.857924935801,54614.77841204415,40039.48979737996
41,0.42000000000000004,0.9911248483214158,0.8069021314644476,0.1613543780183635,0.7185481024287985,-19018.63885177139,-1296.9973484605875,9123.82346346884,-2044.3996758155422,-2197.7973128544922,14706.447925761959
42,0.43,0.9877454435394345,0.6324768797683172,0.11968207215202342,0.19564169800915443,-8926.130300514638,3159.5089513581297,-3318.2998426956433,-5830.490868034584,-4970.58812670255,-4000.9185511774917
43,0.44,0.994540685708607,0.6839898441262615,0.8653846316991766,0.1291283208445233,-770.4811351905757,-14287.039154195465,3244.476359325732,-48.52737963309858,5511.018128110063,-32011.105620080256
44,0.45,0.9951102766690274,0.7462029531546293,0.7423582814581142,0.2566769829404638,7012.395130792771,-19419.828958921487,-35508.4938830847,-4598.579467038473,-13259.187526145062,-743.1915631686926
